,Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
0,ADANIPOWER,20190603,50.35,50.45,50.65,49.1,50.2,50.35,50.02,10128255,506579107.75,21661,1026627,10.14
1,ADANIPOWER,20190604,50.35,49.8,51.25,49.6,50.2,50.3,50.37,9212403,463995507.7,23196,972902,10.56
2,ADANIPOWER,20190606,50.3,50.3,50.4,47.05,48.25,48.2,48.62,10504638,510772353.6,22066,1725326,16.42
3,ADANIPOWER,20190607,48.2,48.2,48.55,46.2,47.45,47.35,47.35,9372442,443788982.85,19373,1056673,11.27
4,ADANIPOWER,20190610,47.35,47.55,48.35,46.35,47.55,47.35,47.32,7790036,368608711.7,15887,851002,10.92
5,ADANIPOWER,20190611,47.35,47.75,48.7,46.6,48.0,48.25,47.55,7777356,369831432.55,17223,1216896,15.65
6,ADANIPOWER,20190612,48.25,48.25,50.45,48.1,49.1,49.1,49.32,15460100,762541735.3,35427,2139075,13.84
7,ADANIPOWER,20190613,49.1,49.0,49.15,46.75,48.35,48.35,48.08,8790669,422647490.8,21004,1135617,12.92
8,ADANIPOWER,20190614,48.35,48.5,50.0,48.1,48.25,48.5,48.91,10216642,499724648.15,22706,1856030,18.17
9,ADANIPOWER,20190617,48.5,48.5,48.55,46.1,46.8,46.75,46.84,11965086,560450073.25,21224,3383132,27.16
10,ADANIPOWER,20190618,46.75,46.8,47.35,45.85,46.85,46.85,46.74,9064307,423677051.5,15631,2801253,28.95
11,ADANIPOWER,20190619,46.85,47.0,47.6,44.3,46.25,46.7,45.94,17770408,816377232.7,29785,4526565,25.47
12,ADANIPOWER,20190620,46.7,45.95,47.9,45.5,47.65,47.5,46.71,9180146,428765606.6,15699,1315308,14.33
13,ADANIPOWER,20190621,47.5,47.5,48.5,46.9,48.1,47.9,47.72,7305311,348610602.4,14082,1843226,25.23
14,ADANIPOWER,20190624,47.9,47.9,50.5,47.15,50.35,50.15,49.17,15302455,752489274.35,24086,4231308,27.65
15,ADANIPOWER,20190625,50.15,50.3,50.9,48.9,50.65,50.55,49.97,14732369,736225068.95,21873,2172872,14.75
16,ADANIPOWER,20190626,50.55,50.7,51.5,50.3,51.15,51.3,51.05,13262391,677095655.0,19674,2739476,20.66
17,ADANIPOWER,20190627,51.3,51.5,52.05,51.0,51.65,51.5,51.53,7884139,406262063.2,18613,2157552,27.37
18,ADANIPOWER,20190628,51.5,52.25,52.35,50.8,51.3,51.35,51.48,10327185,531596671.6,16056,2363339,22.88
19,ADANIPOWER,20190701,51.35,52.25,61.25,50.8,60.6,60.3,57.45,80055330,4599000781.9,139146,9472000,11.83
20,ADANIPOWER,20190702,60.3,60.75,65.4,60.15,64.4,64.75,62.98,129393170,8149763095.05,246369,9851164,7.61
21,ADANIPOWER,20190703,64.75,64.3,66.25,63.6,66.0,65.75,65.17,52851764,3444236585.5,100629,4420806,8.36
22,ADANIPOWER,20190704,65.75,65.8,66.9,64.7,65.05,65.35,65.76,22977698,1511013383.75,47198,2185007,9.51
23,ADANIPOWER,20190705,65.35,65.05,65.9,62.7,63.3,63.65,64.31,19891405,1279174433.45,39225,2771892,13.94
24,ADANIPOWER,20190708,63.65,62.5,63.85,61.45,62.15,62.1,62.47,17035534,1064253445.7,29308,3240323,19.02
25,ADANIPOWER,20190709,62.1,61.45,68.75,60.8,67.45,67.15,65.7,51654011,3393819490.0,100010,3598827,6.97
26,ADANIPOWER,20190710,67.15,67.95,68.25,62.45,62.65,62.95,64.39,37061160,2386509457.7,75390,5492247,14.82
27,ADANIPOWER,20190711,62.95,63.35,64.1,61.6,62.8,62.7,62.86,18334515,1152494531.75,46873,1235575,6.74
28,ADANIPOWER,20190712,62.7,62.85,65.65,62.6,63.7,63.85,64.34,23842359,1533973014.15,63170,1361800,5.71
29,ADANIPOWER,20190715,63.85,63.95,64.15,60.85,62.65,62.7,62.31,15979626,995661466.2,35069,2490325,15.58
30,ADANIPOWER,20190716,62.7,62.4,64.3,62.0,63.85,63.75,63.38,13788018,873846891.55,30065,1612167,11.69
31,ADANIPOWER,20190717,63.75,63.4,64.0,62.35,63.65,63.4,63.23,10827643,684671608.5,20982,1625025,15.01
32,ADANIPOWER,20190718,63.4,63.95,65.9,61.45,62.55,62.7,63.75,27403170,1746996403.05,60106,3867649,14.11
33,ADANIPOWER,20190719,62.7,62.7,62.8,59.9,61.3,60.95,61.48,15192321,933988963.85,35216,2435898,16.03
34,ADANIPOWER,20190722,60.95,61.1,64.0,60.2,63.6,62.95,62.24,12831653,798626276.45,29091,1353527,10.55
35,ADANIPOWER,20190723,62.95,63.1,64.4,62.2,63.15,63.1,63.17,13341706,842851048.45,27668,2950725,22.12
36,ADANIPOWER,20190724,63.1,63.1,63.65,61.7,62.2,62.55,62.39,9184835,573083682.7,18574,1430151,15.57
37,ADANIPOWER,20190725,62.55,62.6,64.0,60.0,62.65,62.1,62.02,14890472,923483591.15,29650,3613786,24.27
38,ADANIPOWER,20190726,62.1,62.0,63.4,61.45,62.85,62.9,62.46,8597588,537040441.55,18253,1026643,11.94
39,ADANIPOWER,20190729,62.9,62.85,63.1,60.4,61.6,61.6,61.46,10450560,642338519.6,21412,2405138,23.01
40,ADANIPOWER,20190730,61.6,61.7,62.25,60.2,60.6,60.65,61.07,8157234,498150695.15,15384,1870363,22.93
41,ADANIPOWER,20190731,60.65,60.6,62.1,59.7,60.8,61.0,60.87,10839824,659774574.2,21857,2819250,26.01
42,ADANIPOWER,20190801,61.0,61.0,61.1,58.1,59.35,59.4,59.47,11153236,663317039.25,23980,1657740,14.86
43,ADANIPOWER,20190802,59.4,59.35,63.5,58.35,61.2,61.45,61.01,18806303,1147358332.5,41632,2367353,12.59
44,ADANIPOWER,20190805,61.45,60.85,60.85,56.9,58.4,58.3,58.3,18586749,1083519980.4,33390,3339477,17.97
45,ADANIPOWER,20190806,58.3,57.8,60.2,57.8,59.65,59.55,59.2,9394907,556212521.75,21683,1286547,13.69
46,ADANIPOWER,20190807,59.55,59.7,62.0,58.4,59.25,59.4,60.13,13479811,810514792.7,28847,2703863,20.06
47,ADANIPOWER,20190808,59.4,60.0,60.95,56.55,60.4,60.0,58.86,15486113,911459797.0,37825,2412129,15.58
48,ADANIPOWER,20190809,60.0,60.5,61.75,59.6,60.45,60.55,60.52,9456081,572255814.7,20183,1097950,11.61
49,ADANIPOWER,20190813,60.55,60.5,61.3,58.15,58.45,58.5,59.53,7997922,476094002.65,17609,1060157,13.26
50,ADANIPOWER,20190814,58.5,59.0,59.45,57.6,58.8,59.2,58.57,8253507,483367635.25,15217,767731,9.3
51,ADANIPOWER,20190816,59.2,58.6,59.6,58.15,59.5,59.35,59.01,5694242,336031084.5,12974,934387,16.41
52,ADANIPOWER,20190819,59.35,58.8,61.1,58.65,60.0,60.3,60.32,7194834,434015232.45,16566,739299,10.28
53,ADANIPOWER,20190820,60.3,60.25,60.25,57.65,59.1,59.05,58.87,8870270,522184569.9,14115,1817074,20.48
54,ADANIPOWER,20190821,59.05,58.25,58.9,57.55,58.25,58.25,58.21,5810634,338261197.45,11225,944271,16.25
55,ADANIPOWER,20190822,58.25,58.2,59.35,56.4,57.3,56.9,57.6,8491499,489130927.1,18419,990323,11.66
56,ADANIPOWER,20190823,56.9,57.0,59.2,55.15,58.3,58.6,57.46,8517451,489387933.45,18914,844115,9.91
