,Index,Date,Open,High,Low,Close,Shares Traded,Turnover
0,NIFTY100,20190603,12061.15,12204.05,12024.8,12190.85,561032903,22606.48
1,NIFTY100,20190604,12155.8,12200.8,12108.15,12122.6,528209165,19745.19
2,NIFTY100,20190606,12141.85,12141.85,11921.1,11932.95,673613170,26137.67
3,NIFTY100,20190607,11951.65,11983.0,11854.25,11957.05,490196986,18786.77
4,NIFTY100,20190610,12019.5,12058.6,11959.55,12006.85,492817086,16586.2
5,NIFTY100,20190611,12042.45,12085.1,11984.1,12053.6,510749542,18892.92
6,NIFTY100,20190612,12050.0,12050.05,11953.25,11989.2,443050034,17418.94
7,NIFTY100,20190613,11960.05,12011.65,11897.15,11995.2,649688906,22507.39
8,NIFTY100,20190614,11991.15,11992.95,11874.8,11899.35,558562993,19544.55
9,NIFTY100,20190617,11916.4,11916.45,11729.0,11743.0,500376784,19985.01
10,NIFTY100,20190618,11748.45,11797.45,11711.85,11761.65,557132144,20579.77
11,NIFTY100,20190619,11814.05,11869.8,11686.95,11753.05,664908409,22742.7
12,NIFTY100,20190620,11718.15,11913.1,11695.15,11901.15,650015464,22794.57
13,NIFTY100,20190621,11893.6,11893.95,11783.85,11802.45,717435942,28523.61
14,NIFTY100,20190624,11807.05,11833.85,11754.15,11782.95,451400585,16084.28
15,NIFTY100,20190625,11762.4,11888.15,11732.65,11871.9,493749317,19801.89
16,NIFTY100,20190626,11844.35,11953.05,11833.55,11928.85,-,-
17,NIFTY100,20190627,11941.9,11992.6,11912.1,11931.35,852288099,28750.47
18,NIFTY100,20190628,11951.4,11961.5,11867.9,11882.1,494739651,19245.62
19,NIFTY100,20190701,11932.85,11974.75,11925.7,11957.5,435729215,16002.36
20,NIFTY100,20190702,11983.45,12008.2,11910.7,12001.6,500301904,16310.7
21,NIFTY100,20190703,12025.2,12039.2,11981.45,12015.2,529062743,17906.98
22,NIFTY100,20190704,12027.0,12066.75,12022.9,12044.8,621656629,19173.07
23,NIFTY100,20190705,12063.9,12081.7,11888.6,11904.05,800017085,24446.34
24,NIFTY100,20190708,11858.7,11860.05,11613.8,11650.35,676971875,23021.27
25,NIFTY100,20190709,11626.45,11679.5,11553.45,11655.85,601945562,25198.4
26,NIFTY100,20190710,11635.5,11688.0,11570.45,11593.8,517327104,20892.05
27,NIFTY100,20190711,11655.4,11692.8,11613.05,11678.6,515459796,19568.64
28,NIFTY100,20190712,11697.1,11738.85,11641.45,11654.85,522356896,20756.19
29,NIFTY100,20190715,11712.65,11716.95,11634.65,11692.65,514667482,19583.3
30,NIFTY100,20190716,11698.55,11778.55,11677.15,11773.15,659503243,20335.33
31,NIFTY100,20190717,11780.6,11819.45,11762.7,11798.45,648150183,19742.39
32,NIFTY100,20190718,11787.0,11787.55,11688.25,11701.4,690348502,21030.04
33,NIFTY100,20190719,11736.75,11750.45,11498.95,11519.25,708959465,23834.02
34,NIFTY100,20190722,11493.8,11498.0,11397.8,11456.25,705728307,23740.85
35,NIFTY100,20190723,11480.85,11498.95,11408.25,11436.55,677175001,23512.99
36,NIFTY100,20190724,11429.55,11465.5,11322.8,11360.15,708854870,24019.64
37,NIFTY100,20190725,11381.75,11456.65,11339.45,11352.35,789190281,29697.55
38,NIFTY100,20190726,11350.35,11416.05,11312.75,11394.7,776989626,24346.12
39,NIFTY100,20190729,11413.85,11416.35,11252.95,11290.9,1287644420,22652.68
40,NIFTY100,20190730,11313.0,11367.5,11167.1,11179.55,1027842998,25177.09
41,NIFTY100,20190731,11129.45,11245.55,11089.2,11221.2,863147144,27779.96
42,NIFTY100,20190801,11164.05,11186.8,10981.95,11080.9,803068344,25245.67
43,NIFTY100,20190802,11030.05,11180.8,10944.4,11100.45,1005932582,29326.82
44,NIFTY100,20190805,11001.6,11004.4,10887.45,10970.05,791957616,24641.49
45,NIFTY100,20190806,10923.0,11122.4,10921.45,11058.9,826578515,25880.9
46,NIFTY100,20190807,11070.05,11090.4,10951.3,10970.55,879003009,25407.64
47,NIFTY100,20190808,11017.0,11169.85,10960.75,11144.15,863782500,26095.34
48,NIFTY100,20190809,11198.95,11296.6,11175.9,11222.2,887924510,26046.9
