trade_date,tradingsymbol,exchange,segment,trade_type,quantity,price,order_id,trade_id,order_execution_time
2020-02-03,RELIANCE,NSE,EQ,buy,4.0,1385.15,1300000005082533,76459724,2020-02-03T11:10:55
2020-02-05,IRCTC,NSE,EQ,buy,1.0,1518.15,1100000003613740,26410596,2020-02-05T11:09:03
2020-02-05,IRCTC,NSE,EQ,buy,2.0,1518.15,1100000003613740,26410597,2020-02-05T11:09:03
2020-02-05,IRCTC,NSE,EQ,buy,1.0,1518.15,1100000003613740,26410598,2020-02-05T11:09:03
2020-02-05,IRCTC,NSE,EQ,buy,1.0,1518.15,1100000003613740,26410599,2020-02-05T11:09:03
2020-02-05,ITC,NSE,EQ,sell,7.0,214.1,1100000003706556,26448124,2020-02-05T11:13:41
2020-02-05,IRCTC,NSE,EQ,buy,1.0,1517.9,1100000003724880,26455931,2020-02-05T11:14:43
2020-02-05,IRCTC,NSE,EQ,buy,1.0,1517.9,1100000003724880,26455930,2020-02-05T11:14:43
2020-02-06,TITAN,NSE,EQ,sell,3.0,1268.45,1300000003578614,76098818,2020-02-06T10:29:08
2020-02-06,HDFC,NSE,EQ,buy,1.0,2419.85,1100000004824326,26746929,2020-02-06T12:07:05
2020-02-14,ASHOKLEY,NSE,EQ,sell,15.0,80.4,1000000001699580,415091,2020-02-14T09:54:45
2020-02-14,IRCON,NSE,EQ,buy,1.0,562.3,1100000001758947,25595180,2020-02-14T09:55:23
2020-02-14,IRCON,NSE,EQ,buy,1.0,562.6,1100000001758947,25595181,2020-02-14T09:55:23
2020-02-14,IRCON,NSE,EQ,buy,1.0,562.75,1100000001758947,25595182,2020-02-14T09:55:23
2020-02-14,IRCON,NSE,EQ,buy,2.0,562.0,1100000001788901,25605328,2020-02-14T09:56:17
2020-02-24,IRCTC,NSE,EQ,sell,4.0,1892.8,1100000003441854,26376722,2020-02-24T10:54:22
2020-02-24,IRCTC,NSE,EQ,sell,2.0,1892.5,1100000003441854,26376723,2020-02-24T10:54:22
2020-02-24,IRCTC,NSE,EQ,sell,1.0,1892.45,1100000003441854,26376724,2020-02-24T10:54:22
2020-03-02,IRCTC,NSE,EQ,buy,7.0,1831.0,1100000003311085,26349980,2020-03-02T10:38:23
2020-03-13,IRCTC,NSE,EQ,buy,4.0,1244.0,1100000014494348,29988118,2020-03-13T14:03:40
2020-03-13,IRCTC,NSE,EQ,sell,4.0,1233.25,1100000015067380,30174214,2020-03-13T14:17:22
2020-04-09,HDFC,NSE,EQ,buy,2.0,1690.95,1100000008312305,28123159,2020-04-09T12:16:21
2020-04-09,SBIN,NSE,EQ,buy,6.0,187.25,1300000008106488,77928922,2020-04-09T12:17:03
2020-04-09,RELIANCE,NSE,EQ,buy,1.0,1224.65,1300000008116923,77933408,2020-04-09T12:17:27
2020-06-01,ADANIPOWER,NSE,EQ,buy,10.0,39.3,1000000006507305,2280837,2020-06-01T11:18:12
2020-06-03,ADANIPOWER,NSE,EQ,sell,10.0,37.35,1000000012845419,4747368,2020-06-03T14:45:54
2020-07-03,ADANIPOWER,NSE,EQ,buy,1.0,35.95,1000000007574149,2500889,2020-07-03T12:46:06
2020-07-22,ITC,NSE,EQ,buy,5.0,197.35,1100000004023188,26385097,2020-07-22T10:12:14
2020-07-22,TECHM,BSE,EQ,buy,5.0,622.8,1595388600060434316,6260600,2020-07-22T12:03:45
2020-07-27,BPCL,NSE,EQ,buy,1.0,461.95,1000000007765911,2382465,2020-07-27T12:24:13
2020-08-10,ADANIPOWER,NSE,EQ,sell,1.0,38.45,1000000004471344,1239325,2020-08-10T09:53:48
