INFO:root:Data Extraction starts for 30-09-2019-TO-28-09-202020MICRONSALLN.csv
INFO:root:Create record 0 :Symbol-20MICRONS, Date-2019-09-30, Series-EQ
INFO:root:Data Extraction starts for 30-09-2019-TO-28-09-202020MICRONSALLN.csv
INFO:root:Data Extraction starts for 30-09-2019-TO-28-09-202020MICRONSALLN.csv
INFO:root:Create record 1 :Symbol-20MICRONS, Date-2019-09-30, Series-EQ
INFO:root:Create record 2 :Symbol-20MICRONS, Date-2019-10-01, Series-EQ
INFO:root:Create record 3 :Symbol-20MICRONS, Date-2019-10-03, Series-EQ
INFO:root:Create record 4 :Symbol-20MICRONS, Date-2019-10-04, Series-EQ
INFO:root:Create record 5 :Symbol-20MICRONS, Date-2019-10-07, Series-EQ
INFO:root:Create record 6 :Symbol-20MICRONS, Date-2019-10-09, Series-EQ
INFO:root:Create record 7 :Symbol-20MICRONS, Date-2019-10-10, Series-EQ
INFO:root:Create record 8 :Symbol-20MICRONS, Date-2019-10-11, Series-EQ
INFO:root:Create record 9 :Symbol-20MICRONS, Date-2019-10-14, Series-EQ
INFO:root:Create record 10 :Symbol-20MICRONS, Date-2019-10-15, Series-EQ
INFO:root:Create record 11 :Symbol-20MICRONS, Date-2019-10-16, Series-EQ
INFO:root:Create record 12 :Symbol-20MICRONS, Date-2019-10-17, Series-EQ
INFO:root:Create record 13 :Symbol-20MICRONS, Date-2019-10-18, Series-EQ
INFO:root:Create record 14 :Symbol-20MICRONS, Date-2019-10-22, Series-EQ
INFO:root:Create record 15 :Symbol-20MICRONS, Date-2019-10-23, Series-EQ
INFO:root:Create record 16 :Symbol-20MICRONS, Date-2019-10-24, Series-EQ
INFO:root:Create record 17 :Symbol-20MICRONS, Date-2019-10-25, Series-EQ
INFO:root:Create record 18 :Symbol-20MICRONS, Date-2019-10-27, Series-EQ
INFO:root:Create record 19 :Symbol-20MICRONS, Date-2019-10-29, Series-EQ
INFO:root:Create record 20 :Symbol-20MICRONS, Date-2019-10-30, Series-EQ
INFO:root:Create record 21 :Symbol-20MICRONS, Date-2019-10-31, Series-EQ
INFO:root:Create record 22 :Symbol-20MICRONS, Date-2019-11-01, Series-EQ
INFO:root:Create record 23 :Symbol-20MICRONS, Date-2019-11-04, Series-EQ
INFO:root:Create record 24 :Symbol-20MICRONS, Date-2019-11-05, Series-EQ
INFO:root:Create record 25 :Symbol-20MICRONS, Date-2019-11-06, Series-EQ
INFO:root:Create record 26 :Symbol-20MICRONS, Date-2019-11-07, Series-EQ
INFO:root:Create record 27 :Symbol-20MICRONS, Date-2019-11-08, Series-EQ
INFO:root:Create record 28 :Symbol-20MICRONS, Date-2019-11-11, Series-EQ
INFO:root:Create record 29 :Symbol-20MICRONS, Date-2019-11-13, Series-EQ
INFO:root:Create record 30 :Symbol-20MICRONS, Date-2019-11-14, Series-EQ
INFO:root:Create record 31 :Symbol-20MICRONS, Date-2019-11-15, Series-EQ
INFO:root:Create record 32 :Symbol-20MICRONS, Date-2019-11-18, Series-EQ
INFO:root:Create record 33 :Symbol-20MICRONS, Date-2019-11-19, Series-EQ
INFO:root:Create record 34 :Symbol-20MICRONS, Date-2019-11-20, Series-EQ
INFO:root:Create record 35 :Symbol-20MICRONS, Date-2019-11-21, Series-EQ
INFO:root:Create record 36 :Symbol-20MICRONS, Date-2019-11-22, Series-EQ
INFO:root:Create record 37 :Symbol-20MICRONS, Date-2019-11-25, Series-EQ
INFO:root:Create record 38 :Symbol-20MICRONS, Date-2019-11-26, Series-EQ
INFO:root:Create record 39 :Symbol-20MICRONS, Date-2019-11-27, Series-EQ
INFO:root:Create record 40 :Symbol-20MICRONS, Date-2019-11-28, Series-EQ
INFO:root:Create record 41 :Symbol-20MICRONS, Date-2019-11-29, Series-EQ
INFO:root:Create record 42 :Symbol-20MICRONS, Date-2019-12-02, Series-EQ
INFO:root:Create record 43 :Symbol-20MICRONS, Date-2019-12-03, Series-EQ
INFO:root:Create record 44 :Symbol-20MICRONS, Date-2019-12-04, Series-EQ
INFO:root:Create record 45 :Symbol-20MICRONS, Date-2019-12-05, Series-EQ
INFO:root:Create record 46 :Symbol-20MICRONS, Date-2019-12-06, Series-EQ
INFO:root:Create record 47 :Symbol-20MICRONS, Date-2019-12-09, Series-EQ
INFO:root:Create record 48 :Symbol-20MICRONS, Date-2019-12-10, Series-EQ
INFO:root:Create record 49 :Symbol-20MICRONS, Date-2019-12-11, Series-EQ
INFO:root:Create record 50 :Symbol-20MICRONS, Date-2019-12-12, Series-EQ
INFO:root:Create record 51 :Symbol-20MICRONS, Date-2019-12-13, Series-EQ
INFO:root:Create record 52 :Symbol-20MICRONS, Date-2019-12-16, Series-EQ
INFO:root:Create record 53 :Symbol-20MICRONS, Date-2019-12-17, Series-EQ
INFO:root:Create record 54 :Symbol-20MICRONS, Date-2019-12-18, Series-EQ
INFO:root:Create record 55 :Symbol-20MICRONS, Date-2019-12-19, Series-EQ
INFO:root:Create record 56 :Symbol-20MICRONS, Date-2019-12-20, Series-EQ
INFO:root:Create record 57 :Symbol-20MICRONS, Date-2019-12-23, Series-EQ
INFO:root:Create record 58 :Symbol-20MICRONS, Date-2019-12-24, Series-EQ
INFO:root:Create record 59 :Symbol-20MICRONS, Date-2019-12-26, Series-EQ
INFO:root:Create record 60 :Symbol-20MICRONS, Date-2019-12-27, Series-EQ
INFO:root:Create record 61 :Symbol-20MICRONS, Date-2019-12-30, Series-EQ
INFO:root:Create record 62 :Symbol-20MICRONS, Date-2019-12-31, Series-EQ
INFO:root:Create record 63 :Symbol-20MICRONS, Date-2020-01-01, Series-EQ
INFO:root:Create record 64 :Symbol-20MICRONS, Date-2020-01-02, Series-EQ
INFO:root:Create record 65 :Symbol-20MICRONS, Date-2020-01-03, Series-EQ
INFO:root:Create record 66 :Symbol-20MICRONS, Date-2020-01-06, Series-EQ
INFO:root:Create record 67 :Symbol-20MICRONS, Date-2020-01-07, Series-EQ
INFO:root:Create record 68 :Symbol-20MICRONS, Date-2020-01-08, Series-EQ
INFO:root:Create record 69 :Symbol-20MICRONS, Date-2020-01-09, Series-EQ
INFO:root:Create record 70 :Symbol-20MICRONS, Date-2020-01-10, Series-EQ
INFO:root:Create record 71 :Symbol-20MICRONS, Date-2020-01-13, Series-EQ
INFO:root:Create record 72 :Symbol-20MICRONS, Date-2020-01-14, Series-EQ
INFO:root:Create record 73 :Symbol-20MICRONS, Date-2020-01-15, Series-EQ
INFO:root:Create record 74 :Symbol-20MICRONS, Date-2020-01-16, Series-EQ
INFO:root:Create record 75 :Symbol-20MICRONS, Date-2020-01-17, Series-EQ
INFO:root:Create record 76 :Symbol-20MICRONS, Date-2020-01-20, Series-EQ
INFO:root:Create record 77 :Symbol-20MICRONS, Date-2020-01-21, Series-EQ
INFO:root:Create record 78 :Symbol-20MICRONS, Date-2020-01-22, Series-EQ
INFO:root:Create record 79 :Symbol-20MICRONS, Date-2020-01-23, Series-EQ
INFO:root:Create record 80 :Symbol-20MICRONS, Date-2020-01-24, Series-EQ
INFO:root:Create record 81 :Symbol-20MICRONS, Date-2020-01-27, Series-EQ
INFO:root:Create record 82 :Symbol-20MICRONS, Date-2020-01-28, Series-EQ
INFO:root:Create record 83 :Symbol-20MICRONS, Date-2020-01-29, Series-EQ
INFO:root:Create record 84 :Symbol-20MICRONS, Date-2020-01-30, Series-EQ
INFO:root:Create record 85 :Symbol-20MICRONS, Date-2020-01-31, Series-EQ
INFO:root:Create record 86 :Symbol-20MICRONS, Date-2020-02-01, Series-EQ
INFO:root:Create record 87 :Symbol-20MICRONS, Date-2020-02-03, Series-EQ
INFO:root:Create record 88 :Symbol-20MICRONS, Date-2020-02-04, Series-EQ
INFO:root:Create record 89 :Symbol-20MICRONS, Date-2020-02-05, Series-EQ
INFO:root:Create record 90 :Symbol-20MICRONS, Date-2020-02-06, Series-EQ
INFO:root:Create record 91 :Symbol-20MICRONS, Date-2020-02-07, Series-EQ
INFO:root:Create record 92 :Symbol-20MICRONS, Date-2020-02-10, Series-EQ
INFO:root:Create record 93 :Symbol-20MICRONS, Date-2020-02-11, Series-EQ
INFO:root:Create record 94 :Symbol-20MICRONS, Date-2020-02-12, Series-EQ
INFO:root:Create record 95 :Symbol-20MICRONS, Date-2020-02-13, Series-EQ
INFO:root:Create record 96 :Symbol-20MICRONS, Date-2020-02-14, Series-EQ
INFO:root:Create record 97 :Symbol-20MICRONS, Date-2020-02-17, Series-EQ
INFO:root:Create record 98 :Symbol-20MICRONS, Date-2020-02-18, Series-EQ
INFO:root:Create record 99 :Symbol-20MICRONS, Date-2020-02-19, Series-EQ
INFO:root:Create record 100 :Symbol-20MICRONS, Date-2020-02-20, Series-EQ
INFO:root:Create record 101 :Symbol-20MICRONS, Date-2020-02-24, Series-EQ
INFO:root:Create record 102 :Symbol-20MICRONS, Date-2020-02-25, Series-EQ
INFO:root:Create record 103 :Symbol-20MICRONS, Date-2020-02-26, Series-EQ
INFO:root:Create record 104 :Symbol-20MICRONS, Date-2020-02-27, Series-EQ
INFO:root:Create record 105 :Symbol-20MICRONS, Date-2020-02-28, Series-EQ
INFO:root:Create record 106 :Symbol-20MICRONS, Date-2020-03-02, Series-EQ
INFO:root:Create record 107 :Symbol-20MICRONS, Date-2020-03-03, Series-EQ
INFO:root:Create record 108 :Symbol-20MICRONS, Date-2020-03-04, Series-EQ
INFO:root:Create record 109 :Symbol-20MICRONS, Date-2020-03-05, Series-EQ
INFO:root:Create record 110 :Symbol-20MICRONS, Date-2020-03-06, Series-EQ
INFO:root:Create record 111 :Symbol-20MICRONS, Date-2020-03-09, Series-EQ
INFO:root:Create record 112 :Symbol-20MICRONS, Date-2020-03-11, Series-EQ
INFO:root:Create record 113 :Symbol-20MICRONS, Date-2020-03-12, Series-EQ
INFO:root:Create record 114 :Symbol-20MICRONS, Date-2020-03-13, Series-EQ
INFO:root:Create record 115 :Symbol-20MICRONS, Date-2020-03-16, Series-EQ
INFO:root:Create record 116 :Symbol-20MICRONS, Date-2020-03-17, Series-EQ
INFO:root:Create record 117 :Symbol-20MICRONS, Date-2020-03-18, Series-EQ
INFO:root:Create record 118 :Symbol-20MICRONS, Date-2020-03-19, Series-EQ
INFO:root:Create record 119 :Symbol-20MICRONS, Date-2020-03-20, Series-EQ
INFO:root:Create record 120 :Symbol-20MICRONS, Date-2020-03-23, Series-EQ
INFO:root:Create record 121 :Symbol-20MICRONS, Date-2020-03-24, Series-EQ
INFO:root:Create record 122 :Symbol-20MICRONS, Date-2020-03-25, Series-EQ
INFO:root:Create record 123 :Symbol-20MICRONS, Date-2020-03-26, Series-EQ
INFO:root:Create record 124 :Symbol-20MICRONS, Date-2020-03-27, Series-EQ
INFO:root:Create record 125 :Symbol-20MICRONS, Date-2020-03-30, Series-EQ
INFO:root:Create record 126 :Symbol-20MICRONS, Date-2020-03-31, Series-EQ
INFO:root:Create record 127 :Symbol-20MICRONS, Date-2020-04-01, Series-EQ
INFO:root:Create record 128 :Symbol-20MICRONS, Date-2020-04-03, Series-EQ
INFO:root:Create record 129 :Symbol-20MICRONS, Date-2020-04-07, Series-EQ
INFO:root:Create record 130 :Symbol-20MICRONS, Date-2020-04-08, Series-EQ
INFO:root:Create record 131 :Symbol-20MICRONS, Date-2020-04-09, Series-EQ
INFO:root:Create record 132 :Symbol-20MICRONS, Date-2020-04-13, Series-EQ
INFO:root:Create record 133 :Symbol-20MICRONS, Date-2020-04-15, Series-EQ
INFO:root:Create record 134 :Symbol-20MICRONS, Date-2020-04-16, Series-EQ
