INFO:root:File download successful
INFO:root:Creating folder
INFO:root:Bhavdata file copied from the dowloads folder
INFO:root:Create record 0 :Symbol-1018GS2026, Date-2020-11-12, Series-GS
INFO:root:Create record 1 :Symbol-20MICRONS, Date-2020-11-12, Series-EQ
INFO:root:Create record 2 :Symbol-21STCENMGM, Date-2020-11-12, Series-EQ
INFO:root:Create record 3 :Symbol-3IINFOTECH, Date-2020-11-12, Series-EQ
INFO:root:Create record 4 :Symbol-3MINDIA, Date-2020-11-12, Series-EQ
INFO:root:Create record 5 :Symbol-3PLAND, Date-2020-11-12, Series-EQ
INFO:root:Create record 6 :Symbol-5PAISA, Date-2020-11-12, Series-EQ
INFO:root:Create record 7 :Symbol-618GS2024, Date-2020-11-12, Series-GS
INFO:root:Create record 8 :Symbol-63MOONS, Date-2020-11-12, Series-EQ
INFO:root:Create record 9 :Symbol-68GS2060, Date-2020-11-12, Series-GS
INFO:root:Create record 10 :Symbol-700GS2021, Date-2020-11-12, Series-GS
INFO:root:Create record 11 :Symbol-716GS2050, Date-2020-11-12, Series-GS
INFO:root:Create record 12 :Symbol-719GS2060, Date-2020-11-12, Series-GS
INFO:root:Create record 13 :Symbol-726GS2029, Date-2020-11-12, Series-GS
INFO:root:Create record 14 :Symbol-732GS2024, Date-2020-11-12, Series-GS
INFO:root:Create record 15 :Symbol-74GS2035, Date-2020-11-12, Series-GS
INFO:root:Create record 16 :Symbol-75GS2034, Date-2020-11-12, Series-GS
INFO:root:Create record 17 :Symbol-769GS2043, Date-2020-11-12, Series-GS
INFO:root:Create record 18 :Symbol-772GS2049, Date-2020-11-12, Series-GS
INFO:root:Create record 19 :Symbol-817GS2044, Date-2020-11-12, Series-GS
INFO:root:Create record 20 :Symbol-824GS2027, Date-2020-11-12, Series-GS
INFO:root:Create record 21 :Symbol-828GS2027, Date-2020-11-12, Series-GS
INFO:root:Create record 22 :Symbol-8KMILES, Date-2020-11-12, Series-BE
INFO:root:Create record 23 :Symbol-A2ZINFRA, Date-2020-11-12, Series-EQ
INFO:root:Create record 24 :Symbol-AAATECH, Date-2020-11-12, Series-SM
INFO:root:Create record 25 :Symbol-AAKASH, Date-2020-11-12, Series-EQ
INFO:root:Create record 26 :Symbol-AARON, Date-2020-11-12, Series-EQ
INFO:root:Create record 27 :Symbol-AARTIDRUGS, Date-2020-11-12, Series-EQ
INFO:root:Create record 28 :Symbol-AARTIIND, Date-2020-11-12, Series-EQ
INFO:root:Create record 29 :Symbol-AARTISURF, Date-2020-11-12, Series-BE
INFO:root:Create record 30 :Symbol-AARVEEDEN, Date-2020-11-12, Series-EQ
INFO:root:Create record 31 :Symbol-AARVI, Date-2020-11-12, Series-EQ
INFO:root:Create record 32 :Symbol-AAVAS, Date-2020-11-12, Series-EQ
INFO:root:Create record 33 :Symbol-ABAN, Date-2020-11-12, Series-EQ
INFO:root:Create record 34 :Symbol-ABB, Date-2020-11-12, Series-EQ
INFO:root:Create record 35 :Symbol-ABBOTINDIA, Date-2020-11-12, Series-EQ
INFO:root:Create record 36 :Symbol-ABCAPITAL, Date-2020-11-12, Series-EQ
INFO:root:Create record 37 :Symbol-ABFRL, Date-2020-11-12, Series-EQ
INFO:root:Create record 38 :Symbol-ABFRLPP, Date-2020-11-12, Series-E1
