INFO:root:File download successful
INFO:root:Folder already exists
INFO:root:File moved to target folder:C:\Users\Arijit Ganguly\Documents\PythonProjects\stock_analysis\data\19102020\sec_bhavdata_full_19102020.csv
INFO:root:Create record 0 :Symbol-20MICRONS, Date-2020-10-19, Series-EQ
INFO:root:Create record 1 :Symbol-21STCENMGM, Date-2020-10-19, Series-EQ
INFO:root:Create record 2 :Symbol-3IINFOTECH, Date-2020-10-19, Series-EQ
INFO:root:Create record 3 :Symbol-3MINDIA, Date-2020-10-19, Series-EQ
INFO:root:Create record 4 :Symbol-3PLAND, Date-2020-10-19, Series-EQ
INFO:root:Create record 5 :Symbol-5PAISA, Date-2020-10-19, Series-BE
INFO:root:Create record 6 :Symbol-63MOONS, Date-2020-10-19, Series-EQ
INFO:root:Create record 7 :Symbol-716GS2050, Date-2020-10-19, Series-GS
INFO:root:Create record 8 :Symbol-719GS2060, Date-2020-10-19, Series-GS
INFO:root:Create record 9 :Symbol-74GS2035, Date-2020-10-19, Series-GS
INFO:root:Create record 10 :Symbol-8KMILES, Date-2020-10-19, Series-BE
INFO:root:Create record 11 :Symbol-A2ZINFRA, Date-2020-10-19, Series-EQ
INFO:root:Create record 12 :Symbol-AAATECH, Date-2020-10-19, Series-ST
INFO:root:Create record 13 :Symbol-AAKASH, Date-2020-10-19, Series-EQ
INFO:root:Create record 14 :Symbol-AARON, Date-2020-10-19, Series-SM
INFO:root:Create record 15 :Symbol-AARTIDRUGS, Date-2020-10-19, Series-EQ
INFO:root:Create record 16 :Symbol-AARTIIND, Date-2020-10-19, Series-EQ
INFO:root:Create record 17 :Symbol-AARTISURF, Date-2020-10-19, Series-BE
INFO:root:Create record 18 :Symbol-AARVEEDEN, Date-2020-10-19, Series-EQ
INFO:root:Create record 19 :Symbol-AARVI, Date-2020-10-19, Series-EQ
INFO:root:Create record 20 :Symbol-AAVAS, Date-2020-10-19, Series-EQ
INFO:root:Create record 21 :Symbol-ABAN, Date-2020-10-19, Series-EQ
INFO:root:Create record 22 :Symbol-ABB, Date-2020-10-19, Series-EQ
INFO:root:Create record 23 :Symbol-ABBOTINDIA, Date-2020-10-19, Series-EQ
INFO:root:Create record 24 :Symbol-ABCAPITAL, Date-2020-10-19, Series-EQ
INFO:root:Create record 25 :Symbol-ABFRL, Date-2020-10-19, Series-EQ
INFO:root:Create record 26 :Symbol-ABFRLPP, Date-2020-10-19, Series-E1
INFO:root:Create record 27 :Symbol-ABMINTLTD, Date-2020-10-19, Series-BE
INFO:root:Create record 28 :Symbol-ABSLBANETF, Date-2020-10-19, Series-EQ
INFO:root:Create record 29 :Symbol-ABSLNN50ET, Date-2020-10-19, Series-EQ
INFO:root:Create record 30 :Symbol-ABSLRIF6RG, Date-2020-10-19, Series-MF
INFO:root:Create record 31 :Symbol-ACC, Date-2020-10-19, Series-EQ
INFO:root:Create record 32 :Symbol-ACCELYA, Date-2020-10-19, Series-EQ
INFO:root:Create record 33 :Symbol-ACE, Date-2020-10-19, Series-EQ
INFO:root:Create record 34 :Symbol-ADANIENT, Date-2020-10-19, Series-EQ
INFO:root:Create record 35 :Symbol-ADANIGAS, Date-2020-10-19, Series-EQ
INFO:root:Create record 36 :Symbol-ADANIGREEN, Date-2020-10-19, Series-EQ
INFO:root:Create record 37 :Symbol-ADANIPORTS, Date-2020-10-19, Series-EQ
INFO:root:Create record 38 :Symbol-ADANIPOWER, Date-2020-10-19, Series-EQ
INFO:root:Create record 39 :Symbol-ADANITRANS, Date-2020-10-19, Series-EQ
INFO:root:Create record 40 :Symbol-ADFFOODS, Date-2020-10-19, Series-EQ
INFO:root:Create record 41 :Symbol-ADHUNIKIND, Date-2020-10-19, Series-EQ
INFO:root:Create record 42 :Symbol-ADL, Date-2020-10-19, Series-BE
INFO:root:Create record 43 :Symbol-ADORWELD, Date-2020-10-19, Series-EQ
INFO:root:Create record 44 :Symbol-ADROITINFO, Date-2020-10-19, Series-EQ
INFO:root:Create record 45 :Symbol-ADSL, Date-2020-10-19, Series-EQ
INFO:root:Create record 46 :Symbol-ADVANIHOTR, Date-2020-10-19, Series-EQ
INFO:root:Create record 47 :Symbol-ADVENZYMES, Date-2020-10-19, Series-EQ
INFO:root:Create record 48 :Symbol-AEGISCHEM, Date-2020-10-19, Series-EQ
INFO:root:Create record 49 :Symbol-AFFLE, Date-2020-10-19, Series-EQ
INFO:root:Create record 50 :Symbol-AGARIND, Date-2020-10-19, Series-EQ
INFO:root:Create record 51 :Symbol-AGCNET, Date-2020-10-19, Series-EQ
INFO:root:Create record 52 :Symbol-AGRITECH, Date-2020-10-19, Series-EQ
INFO:root:Create record 53 :Symbol-AGROPHOS, Date-2020-10-19, Series-EQ
INFO:root:Create record 54 :Symbol-AHLEAST, Date-2020-10-19, Series-EQ
INFO:root:Create record 55 :Symbol-AHLUCONT, Date-2020-10-19, Series-EQ
INFO:root:Create record 56 :Symbol-AHLWEST, Date-2020-10-19, Series-EQ
INFO:root:Create record 57 :Symbol-AIAENG, Date-2020-10-19, Series-EQ
INFO:root:Create record 58 :Symbol-AIRAN, Date-2020-10-19, Series-EQ
INFO:root:Create record 59 :Symbol-AJANTPHARM, Date-2020-10-19, Series-EQ
INFO:root:Create record 60 :Symbol-AJMERA, Date-2020-10-19, Series-EQ
INFO:root:Create record 61 :Symbol-AKASH, Date-2020-10-19, Series-BE
INFO:root:Create record 62 :Symbol-AKG, Date-2020-10-19, Series-SM
INFO:root:Create record 63 :Symbol-AKSHARCHEM, Date-2020-10-19, Series-EQ
INFO:root:Create record 64 :Symbol-AKSHOPTFBR, Date-2020-10-19, Series-EQ
INFO:root:Create record 65 :Symbol-AKZOINDIA, Date-2020-10-19, Series-EQ
INFO:root:Create record 66 :Symbol-ALANKIT, Date-2020-10-19, Series-EQ
INFO:root:Create record 67 :Symbol-ALBERTDAVD, Date-2020-10-19, Series-EQ
INFO:root:Create record 68 :Symbol-ALCHEM, Date-2020-10-19, Series-EQ
INFO:root:Create record 69 :Symbol-ALEMBICLTD, Date-2020-10-19, Series-EQ
INFO:root:Create record 70 :Symbol-ALICON, Date-2020-10-19, Series-EQ
INFO:root:Create record 71 :Symbol-ALKALI, Date-2020-10-19, Series-EQ
INFO:root:Create record 72 :Symbol-ALKEM, Date-2020-10-19, Series-EQ
INFO:root:Create record 73 :Symbol-ALKYLAMINE, Date-2020-10-19, Series-EQ
INFO:root:Create record 74 :Symbol-ALLCARGO, Date-2020-10-19, Series-EQ
INFO:root:Create record 75 :Symbol-ALLSEC, Date-2020-10-19, Series-EQ
INFO:root:Create record 76 :Symbol-ALMONDZ, Date-2020-10-19, Series-EQ
INFO:root:Create record 77 :Symbol-ALOKINDS, Date-2020-10-19, Series-EQ
INFO:root:Create record 78 :Symbol-ALPA, Date-2020-10-19, Series-EQ
INFO:root:Create record 79 :Symbol-ALPHAGEO, Date-2020-10-19, Series-EQ
INFO:root:Create record 80 :Symbol-AMARAJABAT, Date-2020-10-19, Series-EQ
INFO:root:Create record 81 :Symbol-AMBER, Date-2020-10-19, Series-EQ
INFO:root:Create record 82 :Symbol-AMBIKCO, Date-2020-10-19, Series-EQ
INFO:root:Create record 83 :Symbol-AMBUJACEM, Date-2020-10-19, Series-EQ
INFO:root:Create record 84 :Symbol-AMDIND, Date-2020-10-19, Series-EQ
INFO:root:Create record 85 :Symbol-AMJLAND, Date-2020-10-19, Series-EQ
INFO:root:Create record 86 :Symbol-AMJUMBO, Date-2020-10-19, Series-SM
INFO:root:Create record 87 :Symbol-AMRUTANJAN, Date-2020-10-19, Series-EQ
INFO:root:Create record 88 :Symbol-ANANTRAJ, Date-2020-10-19, Series-BE
INFO:root:Create record 89 :Symbol-ANDHRACEMT, Date-2020-10-19, Series-EQ
INFO:root:Create record 90 :Symbol-ANDHRAPAP, Date-2020-10-19, Series-EQ
INFO:root:Create record 91 :Symbol-ANDHRSUGAR, Date-2020-10-19, Series-EQ
INFO:root:Create record 92 :Symbol-ANGELBRKG, Date-2020-10-19, Series-EQ
INFO:root:Create record 93 :Symbol-ANIKINDS, Date-2020-10-19, Series-EQ
INFO:root:Create record 94 :Symbol-ANKITMETAL, Date-2020-10-19, Series-BE
INFO:root:Create record 95 :Symbol-ANSALAPI, Date-2020-10-19, Series-EQ
INFO:root:Create record 96 :Symbol-ANSALHSG, Date-2020-10-19, Series-EQ
INFO:root:Create record 97 :Symbol-ANUP, Date-2020-10-19, Series-EQ
INFO:root:Create record 98 :Symbol-APARINDS, Date-2020-10-19, Series-EQ
INFO:root:Create record 99 :Symbol-APCL, Date-2020-10-19, Series-EQ
INFO:root:Create record 100 :Symbol-APCOTEXIND, Date-2020-10-19, Series-EQ
INFO:root:Create record 101 :Symbol-APEX, Date-2020-10-19, Series-EQ
INFO:root:Create record 102 :Symbol-APLAPOLLO, Date-2020-10-19, Series-EQ
INFO:root:Create record 103 :Symbol-APLLTD, Date-2020-10-19, Series-EQ
INFO:root:Create record 104 :Symbol-APOLLO, Date-2020-10-19, Series-EQ
INFO:root:Create record 105 :Symbol-APOLLOHOSP, Date-2020-10-19, Series-EQ
INFO:root:Create record 106 :Symbol-APOLLOPIPE, Date-2020-10-19, Series-EQ
INFO:root:Create record 107 :Symbol-APOLLOTYRE, Date-2020-10-19, Series-EQ
INFO:root:Create record 108 :Symbol-APOLSINHOT, Date-2020-10-19, Series-EQ
INFO:root:Create record 109 :Symbol-APTECHT, Date-2020-10-19, Series-EQ
INFO:root:Create record 110 :Symbol-ARCHIDPLY, Date-2020-10-19, Series-EQ
INFO:root:Create record 111 :Symbol-ARCHIES, Date-2020-10-19, Series-EQ
INFO:root:Create record 112 :Symbol-ARCOTECH, Date-2020-10-19, Series-BE
INFO:root:Create record 113 :Symbol-ARENTERP, Date-2020-10-19, Series-EQ
INFO:root:Create record 114 :Symbol-ARIES, Date-2020-10-19, Series-EQ
INFO:root:Create record 115 :Symbol-ARIHANT, Date-2020-10-19, Series-EQ
INFO:root:Create record 116 :Symbol-ARIHANTSUP, Date-2020-10-19, Series-EQ
INFO:root:Create record 117 :Symbol-ARMANFIN, Date-2020-10-19, Series-EQ
INFO:root:Create record 118 :Symbol-AROGRANITE, Date-2020-10-19, Series-EQ
INFO:root:Create record 119 :Symbol-ARROWGREEN, Date-2020-10-19, Series-EQ
INFO:root:Create record 120 :Symbol-ARSHIYA, Date-2020-10-19, Series-BE
INFO:root:Create record 121 :Symbol-ARSSINFRA, Date-2020-10-19, Series-EQ
INFO:root:Create record 122 :Symbol-ARTEMISMED, Date-2020-10-19, Series-EQ
INFO:root:Create record 123 :Symbol-ARVIND, Date-2020-10-19, Series-EQ
INFO:root:Create record 124 :Symbol-ARVINDFASN, Date-2020-10-19, Series-EQ
INFO:root:Create record 125 :Symbol-ARVSMART, Date-2020-10-19, Series-EQ
INFO:root:Create record 126 :Symbol-ASAHIINDIA, Date-2020-10-19, Series-EQ
INFO:root:Create record 127 :Symbol-ASAHISONG, Date-2020-10-19, Series-EQ
INFO:root:Create record 128 :Symbol-ASAL, Date-2020-10-19, Series-EQ
INFO:root:Create record 129 :Symbol-ASALCBR, Date-2020-10-19, Series-EQ
INFO:root:Create record 130 :Symbol-ASHAPURMIN, Date-2020-10-19, Series-EQ
INFO:root:Create record 131 :Symbol-ASHIANA, Date-2020-10-19, Series-EQ
INFO:root:Create record 132 :Symbol-ASHIMASYN, Date-2020-10-19, Series-BE
INFO:root:Create record 133 :Symbol-ASHOKA, Date-2020-10-19, Series-EQ
INFO:root:Create record 134 :Symbol-ASHOKLEY, Date-2020-10-19, Series-EQ
INFO:root:Create record 135 :Symbol-ASIANHOTNR, Date-2020-10-19, Series-EQ
INFO:root:Create record 136 :Symbol-ASIANPAINT, Date-2020-10-19, Series-EQ
INFO:root:Create record 137 :Symbol-ASIANTILES, Date-2020-10-19, Series-EQ
INFO:root:Create record 138 :Symbol-ASLIND, Date-2020-10-19, Series-SM
INFO:root:Create record 139 :Symbol-ASPINWALL, Date-2020-10-19, Series-EQ
INFO:root:Create record 140 :Symbol-ASTEC, Date-2020-10-19, Series-EQ
INFO:root:Create record 141 :Symbol-ASTERDM, Date-2020-10-19, Series-EQ
INFO:root:Create record 142 :Symbol-ASTRAL, Date-2020-10-19, Series-EQ
INFO:root:Create record 143 :Symbol-ASTRAMICRO, Date-2020-10-19, Series-EQ
INFO:root:Create record 144 :Symbol-ASTRAZEN, Date-2020-10-19, Series-EQ
INFO:root:Create record 145 :Symbol-ASTRON, Date-2020-10-19, Series-EQ
INFO:root:Create record 146 :Symbol-ATALREAL, Date-2020-10-19, Series-ST
INFO:root:Create record 147 :Symbol-ATFL, Date-2020-10-19, Series-EQ
INFO:root:Create record 148 :Symbol-ATLANTA, Date-2020-10-19, Series-EQ
INFO:root:Create record 149 :Symbol-ATLASCYCLE, Date-2020-10-19, Series-BE
INFO:root:Create record 150 :Symbol-ATUL, Date-2020-10-19, Series-EQ
INFO:root:Create record 151 :Symbol-ATULAUTO, Date-2020-10-19, Series-EQ
INFO:root:Create record 152 :Symbol-AUBANK, Date-2020-10-19, Series-EQ
INFO:root:Create record 153 :Symbol-AURDIS, Date-2020-10-19, Series-SM
INFO:root:Create record 154 :Symbol-AURIONPRO, Date-2020-10-19, Series-EQ
INFO:root:Create record 155 :Symbol-AUROPHARMA, Date-2020-10-19, Series-EQ
INFO:root:Create record 156 :Symbol-AUSOMENT, Date-2020-10-19, Series-EQ
INFO:root:Create record 157 :Symbol-AUTOAXLES, Date-2020-10-19, Series-EQ
INFO:root:Create record 158 :Symbol-AUTOIND, Date-2020-10-19, Series-EQ
INFO:root:Create record 159 :Symbol-AUTOLITIND, Date-2020-10-19, Series-EQ
INFO:root:Create record 160 :Symbol-AVADHSUGAR, Date-2020-10-19, Series-EQ
INFO:root:Create record 161 :Symbol-AVANTIFEED, Date-2020-10-19, Series-EQ
INFO:root:Create record 162 :Symbol-AVG, Date-2020-10-19, Series-SM
INFO:root:Create record 163 :Symbol-AVTNPL, Date-2020-10-19, Series-EQ
INFO:root:Create record 164 :Symbol-AXISBANK, Date-2020-10-19, Series-EQ
INFO:root:Create record 165 :Symbol-AXISCADES, Date-2020-10-19, Series-EQ
INFO:root:Create record 166 :Symbol-AXISGOLD, Date-2020-10-19, Series-EQ
INFO:root:Create record 167 :Symbol-AXISNIFTY, Date-2020-10-19, Series-EQ
INFO:root:Create record 168 :Symbol-AYMSYNTEX, Date-2020-10-19, Series-EQ
INFO:root:Create record 169 :Symbol-BABAFOOD, Date-2020-10-19, Series-SM
INFO:root:Create record 170 :Symbol-BAFNAPH, Date-2020-10-19, Series-BE
INFO:root:Create record 171 :Symbol-BAGFILMS, Date-2020-10-19, Series-EQ
INFO:root:Create record 172 :Symbol-BAJAJ-AUTO, Date-2020-10-19, Series-EQ
INFO:root:Create record 173 :Symbol-BAJAJCON, Date-2020-10-19, Series-EQ
INFO:root:Create record 174 :Symbol-BAJAJELEC, Date-2020-10-19, Series-EQ
INFO:root:Create record 175 :Symbol-BAJAJFINSV, Date-2020-10-19, Series-EQ
INFO:root:Create record 176 :Symbol-BAJAJHIND, Date-2020-10-19, Series-EQ
INFO:root:Create record 177 :Symbol-BAJAJHLDNG, Date-2020-10-19, Series-EQ
INFO:root:Create record 178 :Symbol-BAJFINANCE, Date-2020-10-19, Series-EQ
INFO:root:Create record 179 :Symbol-BALAJITELE, Date-2020-10-19, Series-EQ
INFO:root:Create record 180 :Symbol-BALAMINES, Date-2020-10-19, Series-EQ
INFO:root:Create record 181 :Symbol-BALAXI, Date-2020-10-19, Series-BE
INFO:root:Create record 182 :Symbol-BALKRISHNA, Date-2020-10-19, Series-EQ
INFO:root:Create record 183 :Symbol-BALKRISIND, Date-2020-10-19, Series-EQ
INFO:root:Create record 184 :Symbol-BALLARPUR, Date-2020-10-19, Series-BE
INFO:root:Create record 185 :Symbol-BALMLAWRIE, Date-2020-10-19, Series-EQ
INFO:root:Create record 186 :Symbol-BALPHARMA, Date-2020-10-19, Series-EQ
INFO:root:Create record 187 :Symbol-BALRAMCHIN, Date-2020-10-19, Series-EQ
INFO:root:Create record 188 :Symbol-BANARBEADS, Date-2020-10-19, Series-EQ
INFO:root:Create record 189 :Symbol-BANARISUG, Date-2020-10-19, Series-EQ
INFO:root:Create record 190 :Symbol-BANCOINDIA, Date-2020-10-19, Series-EQ
INFO:root:Create record 191 :Symbol-BANDHANBNK, Date-2020-10-19, Series-EQ
INFO:root:Create record 192 :Symbol-BANG, Date-2020-10-19, Series-EQ
INFO:root:Create record 193 :Symbol-BANKA, Date-2020-10-19, Series-SM
INFO:root:Create record 194 :Symbol-BANKBARODA, Date-2020-10-19, Series-EQ
INFO:root:Create record 195 :Symbol-BANKBEES, Date-2020-10-19, Series-EQ
INFO:root:Create record 196 :Symbol-BANKINDIA, Date-2020-10-19, Series-EQ
INFO:root:Create record 197 :Symbol-BANSWRAS, Date-2020-10-19, Series-EQ
INFO:root:Create record 198 :Symbol-BARTRONICS, Date-2020-10-19, Series-BZ
INFO:root:Create record 199 :Symbol-BASF, Date-2020-10-19, Series-EQ
INFO:root:Create record 200 :Symbol-BASML, Date-2020-10-19, Series-EQ
INFO:root:Create record 201 :Symbol-BATAINDIA, Date-2020-10-19, Series-EQ
INFO:root:Create record 202 :Symbol-BAYERCROP, Date-2020-10-19, Series-EQ
INFO:root:Create record 203 :Symbol-BBL, Date-2020-10-19, Series-EQ
INFO:root:Create record 204 :Symbol-BBTC, Date-2020-10-19, Series-EQ
INFO:root:Create record 205 :Symbol-BCG, Date-2020-10-19, Series-EQ
INFO:root:Create record 206 :Symbol-BCP, Date-2020-10-19, Series-EQ
INFO:root:Create record 207 :Symbol-BDL, Date-2020-10-19, Series-EQ
INFO:root:Create record 208 :Symbol-BEARDSELL, Date-2020-10-19, Series-BE
INFO:root:Create record 209 :Symbol-BEDMUTHA, Date-2020-10-19, Series-BE
INFO:root:Create record 210 :Symbol-BEL, Date-2020-10-19, Series-EQ
INFO:root:Create record 211 :Symbol-BEML, Date-2020-10-19, Series-EQ
INFO:root:Create record 212 :Symbol-BEPL, Date-2020-10-19, Series-EQ
INFO:root:Create record 213 :Symbol-BERGEPAINT, Date-2020-10-19, Series-EQ
INFO:root:Create record 214 :Symbol-BETA, Date-2020-10-19, Series-SM
INFO:root:Create record 215 :Symbol-BFINVEST, Date-2020-10-19, Series-EQ
INFO:root:Create record 216 :Symbol-BFUTILITIE, Date-2020-10-19, Series-EQ
INFO:root:Create record 217 :Symbol-BGRENERGY, Date-2020-10-19, Series-EQ
INFO:root:Create record 218 :Symbol-BHAGERIA, Date-2020-10-19, Series-EQ
INFO:root:Create record 219 :Symbol-BHAGYANGR, Date-2020-10-19, Series-EQ
INFO:root:Create record 220 :Symbol-BHAGYAPROP, Date-2020-10-19, Series-EQ
INFO:root:Create record 221 :Symbol-BHANDARI, Date-2020-10-19, Series-EQ
INFO:root:Create record 222 :Symbol-BHARATFORG, Date-2020-10-19, Series-EQ
INFO:root:Create record 223 :Symbol-BHARATGEAR, Date-2020-10-19, Series-EQ
INFO:root:Create record 224 :Symbol-BHARATRAS, Date-2020-10-19, Series-EQ
INFO:root:Create record 225 :Symbol-BHARATWIRE, Date-2020-10-19, Series-EQ
INFO:root:Create record 226 :Symbol-BHARTIARTL, Date-2020-10-19, Series-EQ
INFO:root:Create record 227 :Symbol-BHEL, Date-2020-10-19, Series-EQ
INFO:root:Create record 228 :Symbol-BIGBLOC, Date-2020-10-19, Series-BE
INFO:root:Create record 229 :Symbol-BIL, Date-2020-10-19, Series-BE
INFO:root:Create record 230 :Symbol-BILENERGY, Date-2020-10-19, Series-EQ
INFO:root:Create record 231 :Symbol-BINDALAGRO, Date-2020-10-19, Series-EQ
INFO:root:Create record 232 :Symbol-BIOCON, Date-2020-10-19, Series-EQ
INFO:root:Create record 233 :Symbol-BIOFILCHEM, Date-2020-10-19, Series-BE
INFO:root:Create record 234 :Symbol-BIRLACABLE, Date-2020-10-19, Series-EQ
